brand,support_tweets,customer_messages_answered,support_replies_to_customer
AmazonHelp,169840,168814,168814
AppleSupport,106860,106646,106646
Uber_Support,56270,56160,56160
SpotifyCares,43265,43092,43092
Delta,42253,42114,42114
Tesco,38573,38468,38468
AmericanAir,36764,36531,36531
TMobileHelp,34317,34215,34215
comcastcares,33031,32921,32921
British_Airways,29361,29290,29290
SouthwestAir,28977,28828,28828
VirginTrains,27817,27416,27416
Ask_Spectrum,25860,25617,25617
XboxSupport,24557,23235,23235
sprintcare,22381,22209,22209
hulu_support,21872,21681,21681
sainsburys,19466,19399,19399
GWRHelp,19364,19237,19237
AskPlayStation,19098,18675,18675
ChipotleTweets,18749,18599,18599
VerizonSupport,17966,17805,17805
UPSHelp,17817,17762,17762
ATVIAssist,17650,17514,17514
O2,16212,16069,16069
idea_cares,15724,15591,15591
Safaricom_Care,16077,15441,15441
AskTarget,13218,13210,13210
AirAsiaSupport,12829,12694,12694
BofA_Help,12683,12634,12634
ArgosHelpers,12174,12030,12030
AskLyft,11809,11782,11782
SW_Help,12231,11729,11729
marksandspencer,11504,11425,11425
AskPayPal,11298,11239,11239
MicrosoftHelps,11304,11215,11215
AskAmex,11358,11090,11090
Morrisons,10126,9980,9980
AdobeCare,9917,9858,9858
AskeBay,9686,9612,9612
airtel_care,9881,9402,9402
AirbnbHelp,8875,8820,8820
ChaseSupport,8811,8707,8707
McDonalds,8478,8427,8427
JetBlue,8020,7956,7956
AldiUK,8114,7846,7846
CoxHelp,7861,7813,7813
Ask_WellsFargo,7578,7559,7559
AlaskaAir,7478,7412,7412
HPSupport,7200,7145,7145
AzureSupport,7565,7010,7010
LondonMidland,6822,6498,6498
GloCare,6308,6300,6300
DropboxSupport,5954,5938,5938
DellCares,5336,5210,5210
GreggsOfficial,4522,4487,4487
VirginAtlantic,4318,4256,4256
TacoBellTeam,4082,4081,4081
nationalrailenq,4444,4073,4073
AskCiti,4081,4036,4036
AskPapaJohns,3908,3892,3892
CenturyLinkHelp,3801,3793,3793
NikeSupport,3468,3408,3408
Postmates_Help,3346,3336,3336
VirginAmerica,2815,2802,2802
ATT,2790,2716,2716
IHGService,2643,2625,2625
Walmart,2643,2608,2608
TfL,2243,2213,2213
askpanera,2153,2152,2152
KFC_UKI_Help,2103,2098,2098
NortonSupport,2011,1972,1972
GoDaddyHelp,1965,1948,1948
ArbysCares,1904,1903,1903
AsurionCares,1898,1846,1846
DoorDash_Help,1581,1574,1574
sizehelpteam,1482,1475,1475
VMUcare,1381,1349,1349
Kimpton,1339,1282,1282
DunkinDonuts,1290,1277,1277
TwitterSupport,1290,1258,1258
SCsupport,1329,1250,1250
USCellularCares,1177,1174,1174
NeweggService,1079,1065,1065
AWSSupport,1035,1034,1034
PandoraSupport,1043,1022,1022
AskRBC,1011,1009,1009
AskVirginMoney,914,906,906
BoostCare,907,900,900
YahooCare,906,859,859
OPPOCareIN,879,836,836
HiltonHelp,833,829,829
PearsonSupport,841,822,822
GooglePlayMusic,804,803,803
MTNC_Care,784,770,770
AskTigogh,715,713,713
askvisa,709,709,709
asksalesforce,710,704,704
AskSeagate,639,638,638
MOO,630,612,612
ask_progressive,612,611,611
KeyBank_Help,555,552,552
AskRobinhood,432,429,429
mediatemplehelp,305,302,302
JackBox,266,255,255
OfficeSupport,218,211,211
AskDSC,210,210,210
CarlsJr,196,181,181
HotelTonightCX,152,152,152
