cluster,tweet_id,created_at,clean_text
0,289765,Fri Nov 03 17:12:36 +0000 2017,"<USER> <USER> Cool, I know I’m not the only one frustrated by it. Tell Daniel I say hello"
0,1162263,Fri Nov 10 22:10:37 +0000 2017,<USER> <USER> We need different paying methods..easy fix
0,1162286,Mon Nov 13 15:08:47 +0000 2017,<USER> <USER> What's this about 60 days free? How can i redeem this?
0,254977,Sat Oct 21 18:29:03 +0000 2017,<USER> <USER> I just want to know when you're going to add this very minor change. I get the impression you're fobbing me off..Daniel? #ProveSpotifyCares
0,1938385,Sat Oct 28 08:07:20 +0000 2017,<USER> <USER> HAHAHAHHA
0,1356625,Thu Nov 09 17:07:59 +0000 2017,"<USER> <USER> Cmon, <USER> . She’s a prude. 😂"
0,2552705,Thu Nov 16 23:53:51 +0000 2017,"<USER> <USER> <USER> <USER> So you're saying you don't have it, right?"
0,1747057,Tue Nov 07 19:04:38 +0000 2017,<USER> You can be completely sure. Hopefully <USER> / <USER> and <USER> / <USER> will be able to find a permanent fix soon.
0,1582871,Tue Oct 17 07:47:36 +0000 2017,<USER> <USER> <URL>
0,2960675,Wed Nov 29 20:31:33 +0000 2017,<USER> & This is why I still ♥ <USER> lol
1,401773,Mon Oct 09 19:51:01 +0000 2017,"<USER> ok, I'll wait for it then, thanks anyway 🙏"
1,1230170,Mon Oct 16 01:48:42 +0000 2017,"<USER> yes, like it'll start and then randomly after 1 song it'll stop playing and then i can't click it"
1,543140,Sat Dec 02 17:18:54 +0000 2017,<USER> Hi. It's ok. I cleared my browser's cache in privacy settings and it fixed it. Thanks!
1,1933315,Sat Oct 28 22:32:55 +0000 2017,<USER> threaten everyone with guns they'll give u licensing
1,370880,Thu Nov 02 21:14:45 +0000 2017,"<USER> 3/ Other times, the app signs itself out. I had to reinstall all music onto my device once."
1,2158579,Thu Nov 09 03:43:05 +0000 2017,<USER> my whole discover tab has been influenced by music i uhhhhhh definitely do not like or listen to under any circumstance. only get recommendations from one genre that i would prefer spotify to ignore.
1,2395927,Tue Nov 14 12:55:14 +0000 2017,"<USER> OK, that's really helpful - thank you!"
1,1677487,Tue Oct 17 16:24:23 +0000 2017,<USER> Sure
1,1970385,Tue Oct 31 19:36:33 +0000 2017,<USER> Ok then
1,203101,Wed Oct 04 19:06:41 +0000 2017,<USER> And not have to sort through ALL new music.
2,2716976,Mon Nov 20 06:32:23 +0000 2017,<USER> in the top left with the windows media thing instead of showing this (see picture attached) it shows that (see first tweet attachment) <URL>
2,2746349,Mon Nov 20 21:42:06 +0000 2017,"<USER> logged out of both devices, restarted the apps, logged back in, still out of sync (see pics) <URL>"
2,1211398,Mon Oct 30 12:54:26 +0000 2017,"<USER> hi guys, as we're on it anyway, maybe you can re-arrange these tracks as well? <URL>"
2,847181,Sat Oct 21 05:59:58 +0000 2017,"<USER> Sure thing, here it is: <URL>"
2,1287755,Thu Oct 26 19:30:18 +0000 2017,<USER> Appreciate it!! If they fix this (see Photo) then Originals will go head to head w/ my Netflix! <URL>
2,1777409,Tue Nov 07 23:57:37 +0000 2017,<USER> It keeps happening.. <URL>
2,416203,Tue Oct 10 01:46:49 +0000 2017,<USER> On Android 7.0 <URL>
2,1964578,Tue Oct 31 06:15:00 +0000 2017,<USER> #2 <URL>
2,606301,Wed Nov 22 11:09:59 +0000 2017,"<USER> Ok and thanks for prompt reply! But according to this article from <URL> it's ""in the works""? <URL>"
2,1320118,Wed Oct 18 06:07:00 +0000 2017,"<USER> This, where do I opt out? <URL>"
3,962255,Fri Oct 13 15:24:07 +0000 2017,"<USER> OS X: 10.12.6, Spotify: 1.0.65.320.gac7a8e02"
3,939992,Fri Oct 13 23:45:18 +0000 2017,"<USER> Windows 8.1 64 bit and spotify 1.0.65.320.gac7a8e02, i just downloaded from the website and reinstalled, still doesn't work"
3,2317514,Mon Nov 13 10:05:54 +0000 2017,<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3
3,1269964,Mon Oct 16 06:21:14 +0000 2017,<USER> I can't remember what username or email I used so I am paying spotify premium but can't login
3,2259622,Sat Nov 11 01:54:09 +0000 2017,<USER> I'm talking about the Spotify+Hulu package
3,1490601,Sat Nov 25 17:09:45 +0000 2017,<USER> And I'm on Spotify Version 8.4.28
3,1152031,Sun Oct 15 17:35:03 +0000 2017,"<USER> yep, even tried with a different spotify account. same result. that's been going on for a few weeks now"
3,1854849,Thu Oct 19 06:48:30 +0000 2017,<USER> Spotify is the only app I usually use in the background. Switching between different apps doesn't cause any problems.
3,637726,Wed Nov 22 19:41:13 +0000 2017,<USER> Okay Spotify
3,2928147,Wed Nov 29 08:30:30 +0000 2017,"<USER> <USER> Mines hit and miss. Only sometimes shows the Spotify app when I go on multimedia. I’m just waiting for next Spotify update, otherwise going to Deezer"
4,468970,Fri Dec 01 07:21:51 +0000 2017,<USER> Thank you so much I'll be waiting for it mean while I listen to hefner by <USER>
4,1557073,Sat Nov 11 17:29:28 +0000 2017,<USER> Alright thank you
4,338709,Sat Oct 07 23:00:29 +0000 2017,<USER> Thank youN
4,1023082,Sat Oct 14 20:00:01 +0000 2017,<USER> Thank you very much
4,889538,Sat Oct 21 00:01:21 +0000 2017,<USER> Thank you for reply!
4,1427776,Thu Nov 16 06:14:18 +0000 2017,<USER> thank u kings
4,2876108,Tue Nov 28 07:23:05 +0000 2017,<USER> Thank you for a response. We solved it out already. Thanks to your colleague!
4,383707,Tue Oct 24 07:33:21 +0000 2017,<USER> Thank you guys 🤗🎤💜🎼
4,2114148,Wed Nov 08 16:23:55 +0000 2017,"<USER> This seems to have worked, thank you!"
4,2913878,Wed Nov 29 05:19:07 +0000 2017,<USER> Thank for checking in and responding guys! Really appreciate it!
5,739451,Fri Oct 06 21:54:20 +0000 2017,<USER> Yeah I do. I unplugged my router and now it’s working again. But thanks anyways 👍🏾
5,1948081,Mon Oct 30 14:59:34 +0000 2017,<USER> Just solved it via online chat. Thanks
5,1270551,Sat Nov 25 13:13:55 +0000 2017,<USER> Thanks 🙏🏻
5,344449,Sun Oct 08 01:33:35 +0000 2017,<USER> Thanks for the reply🤙🏾 The people also miss synchronized lyrics🕺🏾
5,2416882,Sun Oct 29 09:57:28 +0000 2017,<USER> Thanks man!!!
5,1949759,Sun Oct 29 15:23:44 +0000 2017,"<USER> I see, thanks! And there is nothing for the desktop version?"
5,2165572,Thu Nov 09 07:30:38 +0000 2017,"<USER> I️ understand the why, just wish it was there. You guys are the best. Thanks for reaching out."
5,2916578,Tue Nov 28 23:45:59 +0000 2017,<USER> Thanks for the link but obviously I am aware the playlist function is not on the Roku app. Please make your Roku app better. It’s terrible.
5,61514,Wed Nov 01 21:42:11 +0000 2017,<USER> Thanks tell them my life depends on this show 🆘
5,591453,Wed Nov 15 07:16:07 +0000 2017,"<USER> Thanks! It’s the not knowing if it’s going to happen that’s terribly annoying. It’s either a goal or it isn’t. I’m happy to wait some reasonable time if it’s coming, but if it isn’t, don’t keep me on tenterhooks. Let me move on to a supported service."
6,497737,Fri Dec 01 19:41:52 +0000 2017,"<USER> <USER> Don’t consider it, please just do it! Imagine watching a movie with no end credits—that would never fly in the film industry. Unfortunately we don’t have the industry-wide structures for enforcement, so someone needs to be a leader. Why not have it be <USER> ?"
6,1520007,Fri Nov 03 16:53:12 +0000 2017,"<USER> I shouldn't need to do that, i'm happy with the number i have"
6,412333,Sat Nov 25 02:05:38 +0000 2017,"<USER> I’m still having this issue. It seems others are too based on this forum thread. Are your app devs working on it? They need to fix it ASAP. I’m paying for premium, and It’s very annoying not to be able to shuffle! <URL>"
6,992103,Sat Oct 14 11:33:50 +0000 2017,<USER> When I don't open the app in about 24 hours all my music are no longer downloaded
6,584159,Sun Dec 03 14:32:38 +0000 2017,<USER> i don’t know what that means
6,345363,Sun Oct 08 02:44:41 +0000 2017,<USER> Are there other options besides reinstalling? Don't want to do that
6,1415677,Thu Nov 02 02:36:48 +0000 2017,"<USER> I am part of a premium for family package, but when I am logged into the app it says I’m on a premium trial."
6,2545874,Thu Nov 16 16:33:57 +0000 2017,"<USER> iP7, 11.0.3... Search/Category > PLP UX is atrocious. Sub. $, so why fix it unless I cancel my acct.? No need to optimize funnel. Feels like Vista security prompts."
6,1844567,Wed Nov 08 06:47:32 +0000 2017,<USER> Hmmmm..... how does one get their hands on that??? (I don't have my emails enabled usually)
6,2445367,Wed Nov 15 01:06:25 +0000 2017,"<USER> That's great, but I'm not looking to spend more. She will be paying for it now on. Why discriminate against high school kids? May need to cancel subscription because of this."
7,496142,Fri Dec 01 21:48:37 +0000 2017,<USER> I just deleted Spotify and downloaded it again same problem. Updated Spotify and iOS 11.1.2
7,1162389,Fri Nov 10 16:58:53 +0000 2017,"<USER> And yet again, on iPhone 7 those same tracks will just not play"
7,2596619,Fri Nov 17 04:36:19 +0000 2017,"<USER> iPhone 5S, iOS version 11.0.1, latest Spotify apps."
7,2639833,Fri Nov 17 21:28:46 +0000 2017,"<USER> iPhone 7+, iOS 11.1, I️ just updated Spotify yesterday"
7,1642869,Mon Nov 06 04:27:37 +0000 2017,<USER> iOS 11.1 and Spotify Version 8.4.25.906
7,1843932,Sun Nov 26 09:19:20 +0000 2017,"<USER> iPhone 6, iOS 11.1.2, Spotify 8.4.28"
7,1854888,Thu Oct 19 08:54:35 +0000 2017,<USER> iPhone 5s. Spotify version 8.4.22.515.
7,2841203,Tue Nov 28 07:06:03 +0000 2017,<USER> Thnx. Mostly listen on iPhone. You used to be able to do that on the iOS app right? No more? :(
7,707083,Tue Oct 10 19:37:02 +0000 2017,<USER> iPhone. Keeps saying someone else is using it but I changed my password and logged every device out
7,664680,Wed Oct 25 15:12:48 +0000 2017,<USER> iPhone 7! I am holding off on their latest software update though. 😜
8,2218970,Fri Nov 10 10:57:49 +0000 2017,<USER> Is she willing or not to drop it there? ;_ ;
8,2594591,Fri Nov 17 02:47:26 +0000 2017,<USER> It works now however when I tried again (the working time) it pushed several empty “Log In” titled pages and I had to press “Back” several times to get to the two buttons again so I could press Log In again and then it worked.
8,1355084,Mon Oct 16 12:54:05 +0000 2017,<USER> Worked this morning. Must have been a glitch.
8,511820,Sat Dec 02 15:54:05 +0000 2017,<USER> Done that and it's still coming up with the same error message
8,867561,Sat Oct 21 19:43:58 +0000 2017,<USER> it works now! :) no idea why!
8,1986420,Thu Nov 02 15:45:53 +0000 2017,<USER> How on earth could this clear anything up?
8,948689,Thu Nov 09 13:35:00 +0000 2017,<USER> That's really not all gravy. Baby.
8,1261975,Thu Oct 26 10:35:26 +0000 2017,<USER> thx !! :)
8,2086458,Wed Nov 08 06:29:23 +0000 2017,<USER> Lol Few months back you had told me that you will launching real soon?
8,2492543,Wed Nov 15 17:59:17 +0000 2017,"<USER> I know, I just like to bother you guys everyday. I hope y’all are having a good day."
9,466043,Fri Dec 01 04:55:21 +0000 2017,<USER> Legit it's the only reason why I think people use pandora instead of Spotify. Waking up to your favorite song would be amazing. There's a lot of opportunity here if you do it correctly.
9,1265642,Mon Oct 16 05:57:57 +0000 2017,"<USER> just tried logging out and back in and it didn’t fix it, but have safe booted/restarted and it fixes it for like one song haha"
9,1069143,Mon Oct 23 16:19:05 +0000 2017,"<USER> Two issues, basically: • The album and artist views should clearly indicate whether a song is streamed or sourced from a local file."
9,925939,Sat Oct 21 16:31:40 +0000 2017,"<USER> Occasionally it works but if I ""next"" the song the album stops"
9,1152028,Sun Oct 15 19:22:53 +0000 2017,<USER> i linked spotify as a service on my sonos play:1
9,969965,Sun Oct 22 16:51:49 +0000 2017,<USER> and i have to restart the whole app then i press shuffle play it said you need premium to play the music
9,2545842,Thu Nov 16 14:57:35 +0000 2017,<USER> Songs off the album will play just not the one I selected so they're available it's almost like the system sees HYFR as there but what's available to press is differing from what the system sees so it doesn't play what you pressed rather the next song instead but idk really
9,1023303,Thu Oct 12 16:23:33 +0000 2017,<USER> I was listening to my music and in the middle of a song it logged me out and now I can't log back in ~ I'm not getting any error messages
9,1167958,Tue Oct 24 18:00:58 +0000 2017,"<USER> i can't search for artists, I can't play songs and everything takes AGES to load and whatever I'm trying to do doesn't work"
9,1659874,Wed Oct 18 00:41:16 +0000 2017,"<USER> It didn’t work. It’s been removed from my local files for quite some time. The song is already on Spotify, I no longer need the local file."
10,494251,Fri Dec 01 17:35:12 +0000 2017,"<USER> I'm using a Huawei p9 with Android 7.0, this is the version of the app (I've just realised I had missed an update so i just updated it, but it keeps doing it) <URL>"
10,905652,Fri Oct 13 19:29:06 +0000 2017,"<USER> I’m using windows 10 on a Lenovo laptop—again, some music is working, some isn’t. one band that isn’t is Maroon 5–singles specifically."
10,1353861,Fri Oct 27 19:13:45 +0000 2017,<USER> Using a LAN connection.
10,327640,Sat Nov 25 04:16:19 +0000 2017,<USER> What do you mean pricing varies by payment mode? Can I avail the 9 pesos for 3 months using BDO Debit Card or Gcash Mastercard?
10,2653021,Sun Nov 19 06:41:11 +0000 2017,<USER> I’m using mifi. I have reset it but still.
10,1435931,Thu Nov 02 14:24:56 +0000 2017,"<USER> Using OSX El Capitan 10.11. Chrome 52.0. It's a multi-user computer, so sadly I don't have administrator rights. That will probably limit me"
10,2083296,Tue Oct 10 21:56:53 +0000 2017,<USER> I am using a desktop. What do you mean with using an incognito window? Thx
10,1652626,Tue Oct 17 14:32:30 +0000 2017,"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7"
10,1747557,Wed Nov 08 12:11:44 +0000 2017,<USER> I️ was using Firefox
10,2110176,Wed Nov 08 21:56:08 +0000 2017,"<USER> I'm using Asus Zenfone 5, it's Android 4.3 (?) and my current Spotify version is 8.4.26.770 x86. Id the problem where I choose to storage the downloads? But I can't seem to change it (where I want to storage it)."
