tweet_id,created_at,author_id,clean_text,response_tweet_id,in_response_to_tweet_id,intent,resolution_status,requires_escalation,annotation_notes,intent_options,resolution_options,escalation_options
2841203,Tue Nov 28 07:06:03 +0000 2017,552276,<USER> Thnx. Mostly listen on iPhone. You used to be able to do that on the iOS app right? No more? :(,2841204,2841202.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
848550,Fri Oct 20 14:39:53 +0000 2017,295152,<USER> <USER> <USER> Thank you!😊Lots of #Roku users really love #Spotify but it's so frustrating that an important feature like playlists is missing atm!😔#RokuUK,848549,848551.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
418520,Tue Oct 10 04:31:13 +0000 2017,214852,<USER> Useless.,,418518.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
1018201,Mon Oct 23 12:08:11 +0000 2017,260315,<USER> Thank you so much. I really appreciated a such beautiful playlist. It was so fantastic and kind from you all. Have a nice week 👌👍,1018203,1018200.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
2317514,Mon Nov 13 10:05:54 +0000 2017,671908,<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3,2317515,2317513.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
1652626,Tue Oct 17 14:32:30 +0000 2017,504566,"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7",1652628,1652625.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
426787,Tue Oct 10 11:31:01 +0000 2017,216507,"<USER> thanks, but the vote button says ""sorry you can't like this post"" ? and it's under consideration since 10 months back?",426786,426788.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
2826940,Mon Nov 27 11:52:28 +0000 2017,241897,<USER> Sent you guys a DM.,2826942,2826939.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
2338258,Fri Oct 20 06:23:14 +0000 2017,556800,"<USER> okay cool, thank you!",2338259,2338257.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
2485954,Wed Nov 15 17:26:30 +0000 2017,710103,<USER> Haha! Tnx!,,2485953.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
29607,Fri Nov 03 06:57:42 +0000 2017,122505,"<USER> Yep, tried several times, didn't fix :(",29609,29606.0,,,,,ACCOUNT_LOGIN | SUBSCRIPTION_PREMIUM | BILLING_PAYMENT | PLAYBACK | APP_TECHNICAL | PLAYLIST_LIBRARY | FAMILY_DUO | CONTENT_AVAILABILITY | FEATURE_REQUEST | ACCOUNT_SECURITY | DEVICE_PLATFORM | OTHER,RESOLVED | UNRESOLVED | PARTIALLY_RESOLVED | INFORMATION_ONLY | UNCLEAR,YES | NO | UNCLEAR
