tweet_id,created_at,author_id,clean_text,response_tweet_id,in_response_to_tweet_id,cluster
289765,Fri Nov 03 17:12:36 +0000 2017,185038,"<USER> <USER> Cool, I know I’m not the only one frustrated by it. Tell Daniel I say hello",289767,289764.0,0
1162263,Fri Nov 10 22:10:37 +0000 2017,393457,<USER> <USER> We need different paying methods..easy fix,1162264,1162262.0,0
2545909,Fri Nov 17 06:38:56 +0000 2017,723631,<USER> <USER> You reply to people everyday regarding this issue. Surely that's enough to know people want this feature. So just put it back.,2545911,2545908.0,0
741871,Fri Oct 06 23:19:58 +0000 2017,199853,<USER> <USER> Did you find it?,,741870.0,0
848550,Fri Oct 20 14:39:53 +0000 2017,295152,<USER> <USER> <USER> Thank you!😊Lots of #Roku users really love #Spotify but it's so frustrating that an important feature like playlists is missing atm!😔#RokuUK,848549,848551.0,0
1162286,Mon Nov 13 15:08:47 +0000 2017,393464,<USER> <USER> What's this about 60 days free? How can i redeem this?,1162288,1162285.0,0
543146,Sat Dec 02 21:09:03 +0000 2017,246124,<USER> <USER> YOU DOWN? JUST SENT MY VERIFIED REQUEST <URL>,,543145.0,0
654655,Sat Nov 25 14:16:53 +0000 2017,275729,<USER> <USER> Proč by jsme se měli my přizpůsobovat? Proč by jsme se měli podřizovat když si vy nechcete přeložit nás jazyk? Banner mate v češtině tak se starejte!,,654653.0,0
254977,Sat Oct 21 18:29:03 +0000 2017,176622,<USER> <USER> I just want to know when you're going to add this very minor change. I get the impression you're fobbing me off..Daniel? #ProveSpotifyCares,"254978,254979",254976.0,0
1938385,Sat Oct 28 08:07:20 +0000 2017,576605,<USER> <USER> HAHAHAHHA,,1819051.0,0
573790,Sun Dec 03 06:01:39 +0000 2017,254912,<USER> <USER> Fucking shit company.,,573789.0,0
1356625,Thu Nov 09 17:07:59 +0000 2017,436305,"<USER> <USER> Cmon, <USER> . She’s a prude. 😂",,1356624.0,0
2518427,Thu Nov 16 01:56:54 +0000 2017,439637,<USER> <USER> help me,2518429,2518426.0,0
2552705,Thu Nov 16 23:53:51 +0000 2017,723973,"<USER> <USER> <USER> <USER> So you're saying you don't have it, right?",,2552703.0,0
231006,Thu Oct 05 09:31:59 +0000 2017,170999,"<USER> <USER> I have the same issue but while this works, in another day or 2 I have to do the same again! Surely there is another fix?",231005,231007.0,0
252304,Thu Oct 12 00:28:02 +0000 2017,175987,"<USER> This one here, sir. (shout out to <USER> / <USER> ) and I have a Google Pixel under Google/Android interface. <URL>",252306,252303.0,0
1747057,Tue Nov 07 19:04:38 +0000 2017,420893,<USER> You can be completely sure. Hopefully <USER> / <USER> and <USER> / <USER> will be able to find a permanent fix soon.,,1747055.0,0
2759842,Tue Nov 28 04:33:23 +0000 2017,772232,<USER> <USER> same problem. Can you answer me?,2759843,2759841.0,0
1582871,Tue Oct 17 07:47:36 +0000 2017,487183,<USER> <USER> <URL>,1582874,1582870.0,0
2455794,Wed Nov 15 05:54:28 +0000 2017,703491,<USER> <USER> Got it all figured out! Thank you though!,2455796,2455793.0,0
2913854,Wed Nov 29 00:29:46 +0000 2017,806618,<USER> <USER> You should integrate Musixmatch into Spotify like Snapchat did with Shazam.,2913856,2913853.0,0
2960675,Wed Nov 29 20:31:33 +0000 2017,817100,<USER> & This is why I still ♥ <USER> lol,2960677,2960674.0,0
934501,Wed Oct 11 04:39:26 +0000 2017,341679,"<USER> <USER> Never had issues with Groove. If Spotify is going to take on Groove's users, the features should be at parity. I have thousands of cds...",,934499.0,0
1823569,Wed Oct 18 04:37:54 +0000 2017,547413,<USER> <USER> It looks like they don't care,,1823568.0,0
1481448,Fri Nov 03 08:18:02 +0000 2017,463979,<USER> It's ok.. I'm planning to renew my premium a few month from now,1481447,1481449.0,1
2598002,Fri Nov 17 04:56:10 +0000 2017,425745,<USER> I’m sure there is something great in the works.,2598001,2598003.0,1
301658,Fri Oct 06 20:44:59 +0000 2017,187967,<USER> You should be replying to <USER> . He's the one whose music is being uploaded to your site fraudulently.,301657,301659.0,1
834237,Fri Oct 13 07:44:43 +0000 2017,318666,"<USER> I did, please bring this feature back! 😢 it was the most helpful tool for discovering new music",834239,834236.0,1
301477,Mon Aug 14 18:34:01 +0000 2017,187918,"<USER> Thanx, I submitted the same complaint/suggestion before but there were no changes, improvement. With new UI finding music is so difficult",301479,301476.0,1
1645296,Mon Nov 06 01:31:55 +0000 2017,421353,"<USER> OK. Thanks. If I wanted to import my existing iTunes to Spotify, how do I do it? Done in the past ages ago but want to copy latest. File-> Import Playlists-> iTunes does nothing",1645295,1645297.0,1
1701507,Mon Nov 06 21:29:30 +0000 2017,242333,"<USER> I was trying to load my music, I'm on wifi and all my other wifi-related apps are working but Spotify said disconnected",,1701506.0,1
2353912,Mon Nov 13 19:30:35 +0000 2017,271225,"<USER> Thankyou! I'm sure he'll fit in a playlist somewhere! But okay, sounds good 👌🏼",,2353911.0,1
401773,Mon Oct 09 19:51:01 +0000 2017,211016,"<USER> ok, I'll wait for it then, thanks anyway 🙏",401775,401772.0,1
1230170,Mon Oct 16 01:48:42 +0000 2017,408516,"<USER> yes, like it'll start and then randomly after 1 song it'll stop playing and then i can't click it",1230172,1230169.0,1
1261912,Mon Oct 16 05:07:12 +0000 2017,415595,<USER> 1) follow me if you’re better than Apple Music 2) the US I live here,1261914,1261911.0,1
1947860,Mon Oct 30 14:22:30 +0000 2017,574908,"<USER> Both. I had about 10gb of music for offline use..turned on spotify, it stated no offline content",1947862,1947859.0,1
543140,Sat Dec 02 17:18:54 +0000 2017,246122,<USER> Hi. It's ok. I cleared my browser's cache in privacy settings and it fixed it. Thanks!,543142,543139.0,1
1546458,Sat Nov 04 19:41:47 +0000 2017,478872,"<USER> The entire hyperlink is 79 characters. I'm not sure why it's being split-Character counter says 126 incl. ""here's...+title+artist""",,1546456.0,1
2281645,Sat Nov 11 21:10:46 +0000 2017,663211,"<USER> Not sure, but I have similar issues on my home wifi.",2281647,2281644.0,1
1933315,Sat Oct 28 22:32:55 +0000 2017,575295,<USER> threaten everyone with guns they'll give u licensing,,1933314.0,1
340617,Sun Oct 08 01:56:36 +0000 2017,197359,<USER> I'm not sure how to fix that bit. To get it to say my name and my followers/playlists.,340620,340616.0,1
930002,Sun Oct 15 00:58:01 +0000 2017,119654,<USER> After 4 minutes for one 30 second commercial I think I'll wait on the reinstall step.,930004,930001.0,1
1422427,Thu Nov 02 09:17:07 +0000 2017,450576,<USER> It's been like this for weeks I'm afraid but I'll try again :),1422425,1422429.0,1
370880,Thu Nov 02 21:14:45 +0000 2017,203828,"<USER> 3/ Other times, the app signs itself out. I had to reinstall all music onto my device once.",370879,370881.0,1
2150435,Thu Nov 09 01:06:35 +0000 2017,413433,<USER> Lol ..I thought I was... No worries I'll be be sure to scoop some tickets up still.😉 <URL>,2150433,2150437.0,1
2158579,Thu Nov 09 03:43:05 +0000 2017,634056,<USER> my whole discover tab has been influenced by music i uhhhhhh definitely do not like or listen to under any circumstance. only get recommendations from one genre that i would prefer spotify to ignore.,2158578,2158580.0,1
704759,Thu Nov 23 19:24:41 +0000 2017,139086,<USER> Ok thank you guys 👍🏻,,704758.0,1
2393592,Tue Nov 14 11:46:20 +0000 2017,689158,"<USER> Thank you kindly. I'm sure it makes for a better UX overall and is at least valid to test. Just a simple option to a song's context menu of ""Stop suggesting this artist"" or similar would be aces.",2393594,2393591.0,1
2395927,Tue Nov 14 12:55:14 +0000 2017,689693,"<USER> OK, that's really helpful - thank you!",,2395923.0,1
707521,Tue Oct 10 19:50:58 +0000 2017,289147,"<USER> No, it’s OK; you’ve been very helpful. Thanks!",707520,707522.0,1
1677487,Tue Oct 17 16:24:23 +0000 2017,510246,<USER> Sure,1677488,1677486.0,1
1970385,Tue Oct 31 19:36:33 +0000 2017,583682,<USER> Ok then,1970387,1970384.0,1
2978969,Tue Oct 31 20:41:53 +0000 2017,821597,<USER> My music is skipping as if it's a scratched CD,"2978967,2978971",2978972.0,1
