term,tfidf_score
thanks,0.03970304008223785
url,0.035890770063870446
thank,0.03571264247915568
spotify,0.03246784237826054
just,0.03055999985487163
user user,0.027097297240730248
user thank,0.025457391222846966
app,0.023371226984918232
user thanks,0.02173013699429441
music,0.018627092399991833
don,0.016913114435271985
play,0.016800976618637525
tried,0.016574047869965927
ve,0.01601493273368804
like,0.015657665236683934
song,0.014190383805944463
dm,0.01358720322344358
update,0.013482696038102185
guys,0.013368832707384894
doesn,0.012907780435913542
songs,0.012872750452330313
ll,0.012770566471845051
know,0.012762086359146071
user just,0.012683884364694645
fix,0.012504499656387318
iphone,0.01227099741235341
sent,0.011765245461732925
using,0.011719897231877824
work,0.011673995265010895
need,0.011445291216597911
version,0.011416428348057842
sure,0.011324146462275248
ios,0.011147769443852363
help,0.011076652181195601
good,0.010896621504618639
did,0.010841221796204344
use,0.010241408574173024
listen,0.010231075144584198
want,0.010224616996408167
problem,0.010208576004780437
didn,0.01016807655825634
premium,0.00998723542596169
user nope,0.009957729282135924
nope,0.009957729282135924
available,0.009800132635671931
user don,0.009795496741837505
android,0.009749124442440431
11,0.009641460926317553
account,0.009601651260093337
playlist,0.009532140400861895
working,0.00942465782708489
ok,0.009301141793858396
user ve,0.009292616050555473
issue,0.009175262838566966
does,0.009040726469355387
album,0.00898520626187048
really,0.008920178791280192
worked,0.00887479211396933
running,0.008853172345800554
reply,0.008699947399632943
works,0.008491810659595525
user iphone,0.00849171189166289
user dm,0.008491160412932009
user ok,0.00843081755534091
user using,0.008414853037135437
yes,0.008091236090634488
change,0.00797901083234665
phone,0.007975946745695215
ios 11,0.007908783921379753
message,0.007899571475539857
10,0.007860210437672637
playlists,0.0075319021174006864
right,0.007522027995034194
new,0.007439485499310806
link,0.00742498022442649
user url,0.007378693330770236
time,0.007256931201906036
response,0.007198267644352895
hi,0.00710090715343592
user hi,0.00710090715343592
shuffle,0.00705630217204853
going,0.007047537530646359
waiting,0.007040186433638944
username,0.006932845480966599
months,0.006859339727351684
user yes,0.0068023011737631004
users,0.006713666720035776
user sure,0.006697041357086557
hope,0.0065060001781833045
wifi,0.006498166841169094
thing,0.006393513185525872
desktop,0.006160007288409266
user tried,0.006151099356148854
spotify version,0.006133791326654446
try,0.0061266415541056255
laptop,0.005873886169204405
mean,0.005821777930950284
getting,0.0058114885910937695
user worked,0.0058095710383353075
great,0.0057390260267993105
error,0.005708349197032124
logged,0.00562297894445162
samsung,0.0055632931422863385
family,0.005508897917598132
fine,0.005498696677488794
think,0.005430185673896285
maybe,0.005426205308530663
sorry,0.005420046072330872
appreciate,0.005364865468071321
google,0.005351879820029867
device,0.005292831935326286
paying,0.005289807211912283
dm sent,0.005228393062875104
feature,0.005214785320947165
offline,0.0051716498846953625
let,0.005167061773636168
got,0.005139628934234305
used,0.005129111180904934
updated,0.005064963909232077
doing,0.005053955495633282
email,0.005052570081835097
better,0.005041563617554701
iphone ios,0.005035159764183846
windows,0.004997983708233415
button,0.004981929099498474
downloaded,0.004960942845464338
service,0.004957353272838177
doesn work,0.004937565523828095
check,0.004895067895848762
albums,0.004877742768549923
reinstall,0.0048463496887657985
pay,0.004823102508152848
wait,0.004791862051767646
